מספר חשבונית,קישור לספק,תאריך חשבונית,שם ספק,סכום כולל מע''מ,סכום לפני מע''מ,סכום מע''מ,קטגוריה,פירוט שורות,החזר חלקי,שם השולח,סטטוס טיפול,סוג חשבונית,קישור לחשבונית,קישור לקובץ בדרייב,קישור לתיקית החודש,קישור למייל המקורי,כתובת מייל שולח,תאריך ושעת קבלת המייל,מזהה מייל,כפילות,שגיאה,תאריך העלאה למערכת,איכות פענוח,הועבר לרוח,ai_missing_fields,execution_log_url,ai_confidence,error_reason,html_content,קישור להרצה
49640103,טלזר 019 שרותי תקשורת בינלאומיים בע״מ,2026-03-12,טלזר 019 שרותי תקשורת בינלאומיים בע״מ,64.90,55.00,9.9,הוצאות ניהול,מנוי 0559936829 - 10 גיגה לחודש נטפרי x1,,,,,,https://drive.google.com/drive/folders/1HlrcyWiJmp46uY5weEXvDazyvwHE7P8c,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19ce012ff1460a13,no-reply@019mobile.co.il,2026-03-12T03:24:26.000Z,19ce012ff1460a13,,,21/04/2026,high,checked,,,,,,
4093,RACHELI'S,2026-03-14,RACHELI'S,7459.49,6321.60,1137.9,ספקים ביגוד,קפוצון סרט בשרוול סמל סוס 4037 x6,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/19blgqJCxGVfI0S7n7WAyNj6R46ObFpmm,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cedc3adbf47fc0,outgoing@icount.co.il,2026-03-14T19:12:29.000Z,19cedc3adbf47fc0,,,21/04/2026,high,checked,,,,,,
01/077550,לוי שיווק,2026-03-15,לוי שיווק,569.00,482.20,86.8,הוצאות משרד,גליל ניר טרמי 80 מ״מ 40 מטר עמיד x60,,,,,,https://drive.google.com/drive/folders/1Awnn46wJNtW-SPKQRtv4Y6HHbeZCBu1g,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d85e4be5837285,donotreply@rivhit.co.il,2026-04-13T08:10:53.000Z,19d85e4be5837285,,,21/04/2026,high,checked,,,,,,
01/077550,לוי שיווק,2026-03-15,לוי שיווק,569.00,482.20,86.8,הוצאות משרד,גליל ניר טרמי 80 מ״מ 40 מטר עמיד x60,,,,,,https://drive.google.com/drive/folders/1b0nMKb5cwY-flxIgdmYZlc82Kl2_ztJg,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cf15b9fbea7902,donotreply@rivhit.co.il,2026-03-15T11:57:18.000Z,19cf15b9fbea7902,,,21/04/2026,high,checked,,,,,,
242728175,בזק החברה הישראלית לתקשורת בע״מ,2026-03-16,בזק החברה הישראלית לתקשורת בע״מ,32.07,27.18,4.9,הוצאות ניהול,קו טלפון 300 דקות,,בזק,,,,https://drive.google.com/drive/folders/1odqaeWWFELIAHEyqo15Bw5X7s-Ge3R51,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d16c6771234536,bezeq_mail@bezeq.co.il,2026-03-22T18:19:56.000Z,19d16c6771234536,,,21/04/2026,high,checked,,,,,,
101431229,בזק-ג'ן בע״מ,2026-03-16,בזק-ג'ן בע״מ,168.27,142.60,25.7,הוצאות ניהול,תשלום קבוע אספקה 01/02/26-28/02/26,,בזק,,,,https://drive.google.com/drive/folders/1_-dJDRBjtWkx7Ale-w7oaZcQs65Htu1A,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1652355a6d642,bezeq_mail@bezeq.co.il,2026-03-22T16:12:58.000Z,19d1652355a6d642,,,21/04/2026,high,checked,,,,,,
101439533,בזק-ג'ן בע״מ,2026-03-16,בזק-ג'ן בע״מ,636.58,539.47,97.1,שונות,תשלום קבוע אספקה 01/02/26-28/02/26,,בזק,,,,https://drive.google.com/drive/folders/1kQqtUd4-S2tXuLUMQnYNg1snIptEmFU_,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d164075a439713,bezeq_mail@bezeq.co.il,2026-03-22T15:53:35.000Z,19d164075a439713,,,21/04/2026,high,checked,,,,,,
IR2263029,ת.סייפטק טכנולוגיות בע״מ,2026-03-16,ת.סייפטק טכנולוגיות בע״מ,155.19,131.52,23.7,הוצאות ניהול,רשיון חודשי סייפטק x1,,סייפטק - סינון תכנים באינטרנט,,,,https://drive.google.com/drive/folders/1DKmsSXXrAl7h4Lx53scmzzfDxj268kJW,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cf6f6f918bf3c0,help@safe-tec.co.il,2026-03-16T14:05:03.000Z,19cf6f6f918bf3c0,,,21/04/2026,high,checked,,,,,,
153759,טרי סטאר,2026-03-16,טרי סטאר,9694.00,8215.25,1478.8,ספקים ביגוד,כותונת נשים 2251 x144,,TRISTAR,,,,https://drive.google.com/drive/folders/18UsM7FHfkp20s1ZCCfZSRU1Dr3A4ko2g,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cf68f9851822ca,tristar@netvision.net.il,2026-03-16T12:12:07.000Z,19cf68f9851822ca,,,21/04/2026,high,checked,,,,,,
60204,מרציאנו ייבוא ושיווק כיסויי ראש,2026-03-16,מרציאנו ייבוא ושיווק כיסויי ראש,2650.00,2245.77,404.2,ספקים כיסויי ראש,מסגרת x30,,מרציאנו ייבוא ושיווק כיסויי ראש,,,,https://drive.google.com/drive/folders/1vnDaEdH8YY35eqTx-lUN6FdrL8GB2O2g,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cf662aa79437e7,notify@morning.co,2026-03-16T11:23:06.000Z,19cf662aa79437e7,,,21/04/2026,high,checked,,,,,,
01/002078,אסתר מוטצן,2026-03-17,אסתר מוטצן,5239.20,4440.00,799.2,ספקים ביגוד,חצאית מתרחבת x10,,,,,,https://drive.google.com/drive/folders/1CKJ5ArtgHipP04fDdV1swBoRjy-Y6x6a,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cfbcc085d2c2b5,a0548468448@gmail.com,2026-03-17T12:36:17.000Z,19cfbcc085d2c2b5,,,21/04/2026,high,checked,,,,,,
01/002058,אסתר מוטצן,2026-03-17,אסתר מוטצן,4708.20,3990.00,718.2,ספקים ביגוד,חצאית אמזון ארוך x15,,,,,,https://drive.google.com/drive/folders/1-1j3VZ71xDwa-awESojc3fJAIJopEmuz,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cfb79f3de15e9c,a0548468448@gmail.com,2026-03-17T11:06:37.000Z,19cfb79f3de15e9c,,,21/04/2026,high,checked,,,,,,
01/002598,ST FASHION,2026-03-17,ST FASHION,12724.00,10783.05,1941.0,ספקים ביגוד,קפוצון ברקת x5,,,,,,https://drive.google.com/drive/folders/1hLFXMFcyXQFwXX4MBldKYzWFmiiuva7X,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cfac48e08e5de4,0584483765st@gmail.com,2026-03-17T07:48:30.000Z,19cfac48e08e5de4,,,21/04/2026,high,checked,,,,,,
5333,חיה אורדמן בע״מ,2026-03-18,חיה אורדמן בע״מ,21245.31,18004.50,3240.8,ספקים ביגוד,שמלת 2 חלקים הדפס מנומר דגם 26827DRV x11,,"חיה אורדמן בע""מ 515872802",,,,https://drive.google.com/drive/folders/1Jap02r-3j1_OfmwRQ74MYFzOCQH3fQUa,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19da9842ebfc63cc,app@invoice-maven.co.il,2026-04-20T06:11:43.000Z,19da9842ebfc63cc,,,21/04/2026,high,checked,,,,,,
OV265002918,ילו ניהול בע״מ,2026-03-18,ילו ניהול בע״מ,610.00,516.95,93.1,הוצאות ניהול,רב מכר - פנים - עמוד ימין 1 x1,,מירי בן צור,,,,https://drive.google.com/drive/folders/1Tdp_O2EsYD6V_9s-QF0ryStAwNtRPIWZ,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d015440bd5b58d,ravtashlum@gmail.com,2026-03-18T14:23:09.000Z,19d015440bd5b58d,,,21/04/2026,high,checked,,,,,,
266000144SI,בגדי נוחות בע״מ,2026-03-18,בגדי נוחות בע״מ,11178.08,9472.95,1705.1,ספקים ביגוד,סט ליון שחור שמנת S x1,,בן ציון נוישטיין,,,,https://drive.google.com/drive/folders/1VdBAUf5a0r5lcroGpwc8kFhTkCsKNq48,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d0144028f6d0f1,benzion@ninarocca.co.il,2026-03-18T14:05:14.000Z,19d0144028f6d0f1,,,21/04/2026,high,checked,,,,,,
4113,RACHELI'S,2026-03-18,RACHELI'S,778.80,660.00,118.8,ספקים ביגוד,חלוק כחול קשירה בצד A1004 x5,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1OwCnMPh-4Bu5GbFcr_CF46_rloLuyR2C,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d008f4b933ab22,outgoing@icount.co.il,2026-03-18T10:48:03.000Z,19d008f4b933ab22,,,21/04/2026,high,checked,,,,,,
6501544,בלו סטון אימפורטס בע״מ,2026-03-18,בלו סטון אימפורטס בע״מ,8533.00,7231.35,1301.7,ספקים כיסויי ראש,שניל צבע אחד עם בטנה אפור x2,,,,,,https://drive.google.com/drive/folders/12lqkgVb-kyGUoLEB9E1tUVMZwDeFL2Gk,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d003e51db5525c,ofiice@aimporters.com,2026-03-18T09:19:35.000Z,19d003e51db5525c,,,21/04/2026,high,checked,,,,,,
4112,RACHELI'S,2026-03-18,RACHELI'S,566.40,480.00,86.4,ספקים ביגוד,סט סרפן ועליונית ירוק זית ריב 2011 x8,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/17YgxozU-PlZcGeGhenScYJrJJt5Zh6du,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d0009fc42c7da7,outgoing@icount.co.il,2026-03-18T08:22:27.000Z,19d0009fc42c7da7,,,21/04/2026,high,checked,,,,,,
4110,RACHELI'S,2026-03-18,RACHELI'S,15224.83,12902.40,2322.4,ספקים ביגוד,קפוצון שחור צעיף סטאן A4017 x2,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/12VRh7iLmLRWF9pNidZM57Po2kpZ6NNk2,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cfff4a0e408a16,outgoing@icount.co.il,2026-03-18T07:59:07.000Z,19cfff4a0e408a16,,,21/04/2026,high,checked,,,,,,
266000147SI,בגדי נוחות בע״מ,2026-03-19,בגדי נוחות בע״מ,4635.63,3928.50,707.1,ספקים ביגוד,סט מלודי שחור כחול S x1,,בן ציון נוישטיין,,,,https://drive.google.com/drive/folders/1tdUint1qWKDag4IefBDWJ0P_wK8mt3r3,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d05e64cac70782,benzion@ninarocca.co.il,2026-03-19T11:40:56.000Z,19d05e64cac70782,,,21/04/2026,high,checked,,,,,,
4125,RACHELI'S,2026-03-19,RACHELI'S,2027.24,1718.00,309.2,ספקים ביגוד,חלוק כחול קשירה בצד A1004 x6,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1NiFWFOjpodNODJG9NwTwgYtql1rFXgJK,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d05a098799d4af,outgoing@icount.co.il,2026-03-19T10:25:03.000Z,19d05a098799d4af,,,21/04/2026,high,checked,,,,,,
36880,פיין קונטנט בע״מ,2026-03-21,פיין קונטנט בע״מ,2000.00,1694.92,305.1,שונות,פסיכוקופירייטינג - מחזור ב' נשים ללא חברותא (תשלום 3 מתוך 6) x1,,"פיין קונטנט בע""מ",,,,https://drive.google.com/drive/folders/1MQ8j4W8eUprjmAG0ppAEjmtA6Ar88Sje,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d0ecf088c9fb8b,outgoing@out.cardcom.co.il,2026-03-21T05:12:21.000Z,19d0ecf088c9fb8b,,,21/04/2026,high,checked,,,,,,
5340,חיה אורדמן בע״מ,2026-03-22,חיה אורדמן בע״מ,1842.57,1561.50,281.1,ספקים ביגוד,קרדיגן ריב כפתור עליון דגם 26855TRP x11,,"חיה אורדמן בע""מ 515872802",,,,https://drive.google.com/drive/folders/1gjb9_gao8Ze77hKPVI5nbKR5MUx110EM,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d15da772cb23eb,app@invoice-maven.co.il,2026-03-22T14:02:09.000Z,19d15da772cb23eb,,,21/04/2026,high,checked,,,,,,
4132,RACHELI'S,2026-03-23,RACHELI'S,3638.18,3083.20,555.0,ספקים ביגוד,חולצה V תכלת לבן B4005 x13,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1Zm4VRIYmBAUoqvmOV_kH2MxUos9KEXc4,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1b0a4b93cc428,outgoing@icount.co.il,2026-03-23T14:12:32.000Z,19d1b0a4b93cc428,,,21/04/2026,high,checked,,,,,,
SI266000164,בגדי נוחות בע״מ,2026-03-23,בגדי נוחות בע״מ,10968.34,9295.20,1673.1,ספקים ביגוד,חולצה לטינה טופ כחול לבן M x2,,בן ציון נוישטיין,,,,https://drive.google.com/drive/folders/1z_M0EwUXFN9nlmMwwAMb8_tU22jvlnxe,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1ae7b75317021,benzion@ninarocca.co.il,2026-03-23T13:34:28.000Z,19d1ae7b75317021,,,21/04/2026,high,checked,,,,,,
101480082,הכל-בו בלומנטל הרץ בע״מ,2026-03-23,הכל-בו בלומנטל הרץ בע״מ,6.30,5.34,1.0,שונות,פריט כללי x1,,הדסה אבלס,,,,https://drive.google.com/drive/folders/16h1kc14pVNkBkyo3Mq7Um5fhSxXohTEq,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19db3a2dea565cc0,h8420785@gmail.com,2026-04-22T05:21:28.000Z,19db3a2dea565cc0,,,22/04/2026,high,checked,,,,,,
265003139OV,ילו ניהול בע״מ,2026-03-24,ילו ניהול בע״מ,850.00,720.34,129.7,הוצאות ניהול,רב מכר - פנים עמוד שמאל 1 x1,,מירי בן צור,,,,https://drive.google.com/drive/folders/1jy_u-AzzMr6tcMc-OD0nK6GGalicNoJc,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1fd5c7c9433d6,ravtashlum@gmail.com,2026-03-24T12:33:14.000Z,19d1fd5c7c9433d6,,,21/04/2026,high,checked,,,,,,
6501608,בלו סטון אימפורטס בע״מ,2026-03-24,בלו סטון אימפורטס בע״מ,2738.00,2320.34,417.7,ספקים ביגוד,PANEL חצאית שחור משופשף S x2,,,,,,https://drive.google.com/drive/folders/1owKyVnn8cU84uVyBi1rlMxKg-0wUBhXJ,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1f9c5c9fedf9c,ofiice@aimporters.com,2026-03-24T11:30:32.000Z,19d1f9c5c9fedf9c,,,21/04/2026,high,checked,,,,,,
01/002614,ST FASHION,2026-03-24,ST FASHION,2647.00,2243.22,403.8,ספקים ביגוד,Z2 x6,,,,,,https://drive.google.com/drive/folders/1nWC9LNlQqHQo2CbOVf4H6nwt6CLWn6A8,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1f1a267a881a4,0584483765st@gmail.com,2026-03-24T09:08:19.000Z,19d1f1a267a881a4,,,21/04/2026,high,checked,,,,,,
378225,איי פקט בע״מ,2026-03-24,איי פקט בע״מ,193.52,164.00,29.5,הוצאות ניהול,מנוי חודשי ביזיבוקס לעסקים עבור עד 5 חשבונות x1,,"איי פקט בע""מ",,,,https://drive.google.com/drive/folders/10Ob9lBdhwmPrjoqK1OCU-sRjy33EZUxU,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d1eaa42b2fb36c,outgoing@out.cardcom.co.il,2026-03-24T07:06:07.000Z,19d1eaa42b2fb36c,,,21/04/2026,high,checked,,,,,,
4142,RACHELI'S,2026-03-25,RACHELI'S,2647.92,2244.00,403.9,ספקים ביגוד,חלוק מנומר כיווץ במותן 1001 x2,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/14uTkInn51jBop-g4jetWwQN9itvgmLtU,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d26bd2de4d08de,outgoing@icount.co.il,2026-03-25T20:43:45.000Z,19d26bd2de4d08de,,,21/04/2026,high,checked,,,,,,
5702,RACHELI'S,2026-03-25,RACHELI'S,934.56,792.00,142.6,ספקים ביגוד,חלוק מנומר כיווץ במותן 1001 x4,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1p3mfuwub0Oe74EkUAj87dr9vI4L6SNxN,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d26b200fe3808a,outgoing@icount.co.il,2026-03-25T20:31:32.000Z,19d26b200fe3808a,,,21/04/2026,high,checked,,,,,,
6580608,בלו סטון אימפורטס בע״מ,2026-03-26,בלו סטון אימפורטס בע״מ,3068.00,2600.00,468.0,ספקים ביגוד,חצאית DENIM BUTTON שחור S x1,,,,,,https://drive.google.com/drive/folders/1kO2cJEMDBtUsU1nbaakN2_IJuG99YPfq,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d2a0558d8ae373,ofiice@aimporters.com,2026-03-26T12:00:54.000Z,19d2a0558d8ae373,,,21/04/2026,high,checked,,,,,,
6501623,בלו סטון אימפורטס בע״מ,2026-03-26,בלו סטון אימפורטס בע״מ,2466.00,2089.83,376.2,ספקים ביגוד,חצאית PANEL שחור M x2,,,,,,https://drive.google.com/drive/folders/1GAD7qVVPs-AAwAhyBugWzgtUjVy5GL3g,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d29db3f405e746,ofiice@aimporters.com,2026-03-26T11:15:26.000Z,19d29db3f405e746,,,21/04/2026,high,checked,,,,,,
154003,טרי סטאר,2026-03-26,טרי סטאר,960.00,813.56,146.4,ספקים ביגוד,גרביים בריאות נשים 422111 x96,,TRISTAR,,,,https://drive.google.com/drive/folders/1522TuhDO1rtccIy-40Xaxgfvxc1tro_s,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d29802787ffc8c,tristar@netvision.net.il,2026-03-26T09:35:50.000Z,19d29802787ffc8c,,,21/04/2026,high,checked,,,,,,
6501638,בלו סטון אימפורטס בע״מ,2026-03-29,בלו סטון אימפורטס בע״מ,407.00,344.92,62.1,ספקים כיסויי ראש,בנדנה ספורט זיג כחול x2,,,,,,https://drive.google.com/drive/folders/1V3IpqQQfZ6q9gObzx4Jqy6mVmTuOo0eT,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d39434e17d6d8c,ofiice@aimporters.com,2026-03-29T11:03:24.000Z,19d39434e17d6d8c,,,21/04/2026,high,checked,,,,,,
SI266000197,בגדי נוחות בע״מ,2026-03-29,בגדי נוחות בע״מ,4617.58,3913.20,704.4,ספקים ביגוד,סט ליון שחור שמנת M x2,,בן ציון נוישטיין,,,,https://drive.google.com/drive/folders/17RI3030MeYfxh2RuHwhR_IQQUtyITnTO,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d3930dfdff264a,benzion@ninarocca.co.il,2026-03-29T10:43:13.000Z,19d3930dfdff264a,,,21/04/2026,high,checked,,,,,,
01/002635,ST FASHION,2026-03-30,ST FASHION,10722.00,9086.44,1635.6,ספקים ביגוד,T1 x14,,,,,,https://drive.google.com/drive/folders/1u9CZMXYAW-lphwaALxep1-38iN2G54uQ,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19d3e3ad982bf851,0584483765st@gmail.com,2026-03-30T10:12:16.000Z,19d3e3ad982bf851,,,21/04/2026,high,checked,,,,,,
412388359,הייפ פתרונות תשלום בע״מ,2026-04-05,הייפ פתרונות תשלום בע״מ,500.00,423.73,76.3,הוצאות ניהול,שירות אשראית EMV מסוף 6436167 דגם 350 מ 01/04/26 עד 30/06/26,,,,,,https://drive.google.com/drive/folders/1DEyEQtUbt-mlUgrnrczsHWwUz6X5iUxg,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d62aed65449bd0,Caspit-invoice@caspitgroup.co.il,2026-04-06T12:05:14.000Z,19d62aed65449bd0,,,21/04/2026,high,checked,,,,,,
IR2266849,ת.סייפטק טכנולוגיות בע״מ,2026-04-05,ת.סייפטק טכנולוגיות בע״מ,35.20,29.83,5.4,הוצאות ניהול,רשיון חודשי סייפטק x1,,סייפטק - סינון תכנים באינטרנט,,,,https://drive.google.com/drive/folders/1POTJxbNg6Z-vCp-KY-6M0TUs_EUBpWE3,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d5b12a75b59379,help@safe-tec.co.il,2026-04-05T00:37:20.000Z,19d5b12a75b59379,,,21/04/2026,high,checked,,,,,,
265003383OV,ילו ניהול בע״מ,2026-04-09,ילו ניהול בע״מ,850.00,720.34,129.7,הוצאות ניהול,רב מכר - פנים - עמוד שמאל 1 x1,,מירי בן צור,,,,https://drive.google.com/drive/folders/16fj4FGUCBA8iQ5HI6EoWadcKq5qAYoOS,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d72a7f77bd7282,ravtashlum@gmail.com,2026-04-09T14:31:40.000Z,19d72a7f77bd7282,,,21/04/2026,high,checked,,,,,,
1359,סניורה/ג׳וני עיצובים,2026-04-12,סניורה/ג׳וני עיצובים,3682.00,3120.00,561.7,ספקים ביגוד,קראפ פיקה מרובע x360,,נתנאל נצרתי ,,,,https://drive.google.com/drive/folders/1P70Ayg3Rvs-ykFv7T4t8bGpRk6OmWwGp,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d82ca7aa1f58c3,outgoing@icount.co.il,2026-04-12T17:43:20.000Z,19d82ca7aa1f58c3,,,21/04/2026,high,checked,,,,,,
49884387,טלזר 019 שרותי תקשורת בינלאומיים בע״מ,2026-04-12,טלזר 019 שרותי תקשורת בינלאומיים בע״מ,64.90,55.00,9.9,הוצאות ניהול,מנוי 0559936829 - 10 גיגה לחודש נטפרי x1,,,,,,https://drive.google.com/drive/folders/19yBUNwE0BAaqi4Szdjgy3uT2EJOXyB07,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d8033c1cb212c5,no-reply@019mobile.co.il,2026-04-12T05:39:27.000Z,19d8033c1cb212c5,,,21/04/2026,high,checked,,,,,,
99870,וליוקארד בע״מ,2026-04-15,וליוקארד בע״מ,443.00,375.82,67.7,הוצאות ניהול,שימוש שוטף במערכת וליוקארד 04/26 x1,,"וליוקארד בע""מ",,,,https://drive.google.com/drive/folders/1DxIJItTCfw8hj7ao7JStQeP2ACU9latG,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19d8e4afc7aa6e90,invoice@hclickapp.co.il,2026-04-14T23:19:30.000Z,19d8e4afc7aa6e90,,,21/04/2026,high,checked,,,,,,
111785,אופנת לימור,2026-04-15,אופנת לימור,3210.00,2720.34,489.7,ספקים ביגוד,חצאית ניאון חלק x12,,הדסה אבלס,,,,https://drive.google.com/drive/folders/16srY6f4uUwc7xKz8aPtW6IwIGBIb0sQd,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19db3a268f075beb,h8420785@gmail.com,2026-04-22T05:20:58.000Z,19db3a268f075beb,,,22/04/2026,high,checked,,,,,,
101511808,בזק-ג'ן בע״מ,2026-04-16,בזק-ג'ן בע״מ,820.36,695.22,125.1,הוצאות ניהול,תשלום קבוע אספקה 01/03/26-31/03/26,,בזק,,,,https://drive.google.com/drive/folders/12LmTQebKuq4aOdgovMaoJvSN5pKFlp19,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19da9a1c858ddfae,bezeq_mail@bezeq.co.il,2026-04-20T06:44:00.000Z,19da9a1c858ddfae,,,21/04/2026,high,checked,,,,,,
101502859,בזק-ג'ן בע״מ,2026-04-16,בזק-ג'ן בע״מ,549.38,465.57,83.8,הוצאות ניהול,תשלום קבוע אספקה 01/03/26-31/03/26,,בזק,,,,https://drive.google.com/drive/folders/1vAOVai4hBq3ZJ0DZPTBlsR_XZa91btKd,https://drive.google.com/drive/folders/1TTyV2IWjfSbR6Bkhzpo4kgWDqPm1_T_p,https://mail.google.com/mail/u/0/#inbox/19da6466a06a049b,bezeq_mail@bezeq.co.il,2026-04-19T15:05:24.000Z,19da6466a06a049b,,,21/04/2026,high,checked,,,,,,
